id,status,now_cost,selected_by_percent,form,event_points,cost_change_event,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,total_points,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index
551,a,4.5,0.5,0.0,0,0,3414,2855,0.0,0.0,1.0,0.0,0,0,0,3414,2855,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552,a,4.0,0.3,0.0,0,0,770,1161,0.0,0.0,1.0,0.0,0,0,0,770,1161,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553,a,5.0,0.1,1.0,1,0,344,700,0.2,0.2,1.6,0.6,1,0,11,344,700,0,0.0,0.02,0.02,1.24,8.6,3.2,0.0,1.2
554,a,4.5,2.4,2.0,2,0,4832,5089,0.4,0.4,2.2,1.2,2,0,10,4832,5089,0,0.0,0.0,0.0,1.24,31.2,0.0,0.0,3.1
555,a,5.0,0.1,0.0,0,0,260,754,0.0,0.0,1.4,0.4,0,0,0,260,754,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
556,a,4.0,1.2,0.0,0,0,3122,1974,0.0,0.0,1.0,0.0,0,0,0,3122,1974,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
557,a,5.0,0.2,2.0,2,0,214,632,0.4,0.4,1.6,0.6,2,0,16,214,632,0,0.0,0.01,0.01,1.24,29.8,1.0,0.0,3.1
558,a,4.0,0.6,1.0,1,0,9305,2182,0.2,0.2,1.0,0.0,1,0,8,9305,2182,0,0.0,0.02,0.02,1.24,21.8,14.9,0.0,3.7
559,s,4.5,0.0,0.0,0,0,23,119,0.0,0.0,0.0,0.0,0,0,0,23,119,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,a,4.0,1.5,0.0,0,0,4543,4823,0.0,0.0,1.0,0.0,0,0,0,4543,4823,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
562,a,5.5,0.1,1.0,1,0,94,239,0.2,0.2,2.0,1.0,1,0,2,94,239,0,0.04,0.0,0.04,0.06,0.0,0.2,1.0,0.0
563,a,5.5,0.2,2.0,2,0,277,595,0.4,0.4,2.0,1.0,2,0,6,277,595,0,0.05,0.01,0.06,1.18,0.0,6.3,10.0,1.5
564,a,4.5,0.1,0.0,0,0,58,473,0.0,0.0,1.9,0.9,0,0,0,58,473,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
565,a,5.5,0.2,1.0,1,0,310,1572,0.2,0.2,2.0,1.0,1,0,6,310,1572,0,0.08,0.01,0.09,0.0,7.4,1.3,17.0,2.6
566,a,5.5,0.2,2.0,2,0,1962,843,0.4,0.4,1.7,0.7,2,0,2,1962,843,0,0.08,0.0,0.08,1.24,2.4,1.9,23.0,2.7
567,a,4.5,0.2,0.0,0,0,211,1181,0.0,0.0,1.9,0.9,0,0,-6,211,1181,0,0.0,0.01,0.01,1.24,8.4,1.3,6.0,1.6
